Dept,Course,Slot,Room,Students
1,240,5896,57,60
1,240,27437,75,60
1,241,29946,47,60
1,241,906,75,60
1,242,18001,6,30
1,242,14300,6,30
1,243,2009,47,90
1,243,4610,47,90
1,243,1828,47,90
1,243,29783,47,90
1,244,31042,28,120
1,244,30123,28,120
1,244,31821,28,120
1,244,24798,28,120
1,25,9492,6,30
1,236,26378,18,60
1,236,24885,18,60
1,237,4799,6,30
1,238,12268,18,60
1,238,15652,57,60
1,238,12679,75,60
1,239,1749,57,60
1,239,3095,18,60
2,240,11057,18,60
2,240,5288,18,60
2,241,11337,18,60
2,241,1342,18,60
2,242,16996,6,30
2,242,22415,6,30
2,243,8608,47,90
2,243,3569,47,90
2,243,6787,47,90
2,243,29128,47,90
2,244,17235,28,120
2,244,17364,28,120
2,244,17933,28,120
2,244,4383,28,120
2,25,1242,6,30
2,236,30068,57,60
2,236,23727,57,60
2,237,2461,6,30
2,238,1471,57,60
2,238,23726,57,60
2,238,21575,18,60
2,239,17761,57,60
2,239,27876,57,60
3,240,20832,18,60
3,240,1188,75,60
3,241,4336,75,60
3,241,10339,18,60
3,242,30731,6,30
3,242,31655,6,30
3,243,27736,47,90
3,243,3051,47,90
3,243,5935,47,90
3,243,25047,47,90
3,244,3434,28,120
3,244,17865,28,120
3,244,7609,28,120
3,244,6525,3,120
3,25,178,6,30
3,236,10825,18,60
3,236,22311,18,60
3,237,22812,6,30
3,238,18200,75,60
3,238,994,18,60
3,238,10751,18,60
3,239,27936,57,60
3,239,2722,18,60
4,240,7466,18,60
4,240,18675,18,60
4,241,30587,75,60
4,241,10151,75,60
4,242,9940,6,30
4,242,13662,6,30
4,243,27465,47,90
4,243,8540,47,90
4,243,18886,47,90
4,243,26145,47,90
4,244,5531,28,120
4,244,26012,28,120
4,244,10574,28,120
4,244,16526,28,120
4,25,15061,6,30
4,236,30635,18,60
4,236,29213,18,60
4,237,5477,6,30
4,238,19877,57,60
4,238,10670,75,60
4,238,19365,75,60
4,239,11201,18,60
4,239,20922,18,60
5,240,31688,57,60
5,240,15332,75,60
5,241,13945,57,60
5,241,1886,57,60
5,242,11539,6,30
5,242,24835,6,30
5,243,19984,47,90
5,243,28769,47,90
5,243,10323,47,90
5,243,19776,47,90
5,244,12384,28,120
5,244,6982,28,120
5,244,22905,28,120
5,244,1958,28,120
5,25,5425,6,30
5,236,4187,18,60
5,236,10540,18,60
5,237,13202,6,30
5,238,28709,18,60
5,238,16428,75,60
5,238,7669,57,60
5,239,18128,47,60
5,239,20142,47,60
