Dept,Course,Slot,Room,Students
1,176,11104,7,36
1,176,11020,7,36
1,177,8800,7,36
1,177,35323,7,36
1,178,5102,5,18
1,179,27521,7,36
1,179,24276,7,36
1,180,22504,7,36
1,180,11193,7,36
1,174,17519,5,18
1,175,9943,5,18
2,176,17002,7,36
2,176,27214,7,36
2,177,15844,7,36
2,177,14837,7,36
2,178,10842,5,18
2,179,20024,7,36
2,179,12229,7,36
2,180,12409,7,36
2,180,29862,7,36
2,174,563,5,18
2,175,36340,5,18
3,176,30526,7,36
3,176,36591,7,36
3,177,10852,7,36
3,177,19823,7,36
3,178,11061,5,18
3,179,10021,7,36
3,179,17927,7,36
3,180,33752,7,36
3,180,17740,7,36
3,174,19895,5,18
3,175,21783,5,18
4,176,34313,7,36
4,176,33757,7,36
4,177,35336,7,36
4,177,13946,7,36
4,178,27058,5,18
4,179,26346,7,36
4,179,14942,7,36
4,180,8542,7,36
4,180,25738,7,36
4,174,1731,5,18
4,175,28197,5,18
5,176,13363,7,36
5,176,23471,7,36
5,177,11026,7,36
5,177,24557,7,36
5,178,17691,5,18
5,179,17915,7,36
5,179,6688,7,36
5,180,17926,7,36
5,180,31315,7,36
5,174,26009,5,18
5,175,13037,5,18
6,176,4663,7,36
6,176,8404,7,36
6,177,37867,7,36
6,177,6963,7,36
6,178,3909,5,18
6,179,25489,7,36
6,179,30687,7,36
6,180,26259,7,36
6,180,19300,7,36
6,174,37838,5,18
6,175,36300,5,18
7,176,13058,7,36
7,176,15937,7,36
7,177,37425,7,36
7,177,27747,7,36
7,178,17818,5,18
7,179,31858,7,36
7,179,4476,7,36
7,180,30016,7,36
7,180,15163,7,36
7,174,30046,5,18
7,175,24746,5,18
8,176,7761,7,36
8,176,34866,7,36
8,177,36084,7,36
8,177,12172,7,36
8,178,21539,5,18
8,179,33172,7,36
8,179,15678,7,36
8,180,12664,7,36
8,180,32131,7,36
8,174,9210,5,18
8,175,13469,5,18
9,176,34339,7,36
9,176,19950,7,36
9,177,11428,7,36
9,177,36150,7,36
9,178,35678,5,18
9,179,31076,7,36
9,179,17022,7,36
9,180,32467,7,36
9,180,7464,7,36
9,174,11367,5,18
9,175,37632,5,18
10,176,29612,7,36
10,176,11295,7,36
10,177,31259,7,36
10,177,9234,7,36
10,178,29839,5,18
10,179,1766,7,36
10,179,15063,7,36
10,180,37425,7,36
10,180,15189,7,36
10,174,7059,5,18
10,175,18605,5,18
11,176,29184,7,36
