Department,Course,Slot,Room,Students
1,432,22233,13,392
1,432,472,13,392
1,433,23116,13,460
1,433,13759,13,460
1,482,3135,18,59
1,445,4695,68,68
1,447,9704,,100
2,432,18678,13,392
2,432,21297,13,392
2,433,13911,13,460
2,433,21076,13,460
2,482,20209,18,59
2,445,17273,68,68
2,447,20014,38,100
3,432,8922,13,392
3,432,10463,13,392
3,433,17802,13,460
3,433,15105,13,460
3,482,19307,18,59
3,445,705,68,68
3,447,14368,38,100
4,432,13977,13,392
4,432,20968,13,392
4,433,4904,13,460
4,433,3400,13,460
4,482,8742,18,59
4,445,6929,68,68
4,447,5897,38,100
5,432,4883,13,392
5,432,7611,13,392
5,433,3202,13,460
5,433,866,13,460
5,482,5149,18,59
5,445,23018,68,68
5,447,2181,38,100
6,432,25049,13,392
6,432,1550,13,392
6,433,4993,13,460
6,433,9356,,460
6,482,3982,18,59
6,445,25755,68,68
6,447,16115,38,100
7,459,20572,17,48
7,459,4213,17,48
7,459,8780,17,48
7,460,6496,18,60
7,460,22728,18,60
7,460,4891,18,60
7,462,23185,18,60
7,462,379,18,60
7,462,2553,18,60
8,459,19020,17,48
8,459,9150,17,48
8,459,8915,17,48
8,460,23526,18,60
8,460,2828,18,60
8,460,21913,18,60
8,462,1500,18,60
8,462,10988,18,60
8,462,8050,18,60
9,459,9787,17,48
9,459,4439,17,48
9,459,24376,17,48
9,460,21116,18,60
9,460,26007,18,60
9,460,710,18,60
9,462,827,18,60
9,462,1888,18,60
9,462,4705,18,60
10,459,20201,17,48
10,459,7185,17,48
10,459,17765,17,48
10,460,10000,18,60
10,460,17060,18,60
10,460,11230,18,60
10,462,22230,18,60
10,462,4587,18,60
10,462,23026,18,60
11,456,15356,17,45
11,456,4186,17,45
11,456,25710,17,45
11,459,13745,17,48
11,459,931,17,48
11,459,15263,17,48
11,460,19936,18,60
11,460,2615,18,60
11,460,15568,18,60
11,462,16619,18,60
11,462,1645,18,60
11,462,14992,18,60
12,458,5610,11,30
12,458,22060,11,30
12,458,8777,11,30
12,459,13862,17,48
12,459,605,17,48
12,459,22434,17,48
12,460,12794,18,60
12,460,16803,18,60
12,460,21520,18,60
12,462,22995,18,60
12,462,3953,18,60
12,462,13465,18,60
13,459,21593,17,48
13,459,16285,17,48
13,459,3042,17,48
13,460,16545,18,60
13,460,1429,18,60
13,460,7467,18,60
13,462,7523,18,60
13,462,1392,18,60
13,462,14737,18,60
14,467,14563,38,71
14,467,2804,38,71
14,467,8673,38,71
14,459,5740,17,48
14,459,20153,17,48
14,459,21363,17,48
14,460,13031,18,60
14,460,20450,18,60
14,460,11884,18,60
14,461,8111,17,45
14,461,1868,17,45
14,461,12479,17,45
14,462,375,18,60
14,462,12853,18,60
14,462,10354,18,60
15,457,20834,17,45
15,457,20566,17,45
15,457,24170,17,45
15,459,8408,17,48
15,459,17038,17,48
15,459,20436,17,48
15,460,18039,18,60
15,460,14559,18,60
15,460,23847,18,60
15,462,11369,18,60
15,462,23912,18,60
15,462,18590,18,60
16,459,933,17,48
16,459,1746,17,48
16,459,5933,17,48
16,460,24510,18,60
16,460,19855,18,60
16,460,23892,18,60
16,462,16496,18,60
16,462,22805,18,60
16,462,24451,18,60
17,467,25443,38,71
17,467,8831,38,71
17,467,19804,13,71
17,459,11665,17,48
17,459,22929,17,48
17,459,3029,17,48
17,460,1673,18,60
17,460,3672,18,60
17,460,3347,18,60
17,461,20780,17,45
17,461,3449,17,45
17,461,7031,17,45
17,462,20573,18,60
17,462,12552,18,60
17,462,21069,18,60
18,459,3785,17,48
18,459,18824,17,48
18,459,19798,17,48
18,460,21596,18,60
18,460,20113,18,60
18,460,26109,18,60
18,462,13981,18,60
18,462,9023,18,60
18,462,13647,18,60
19,458,1880,11,30
19,458,3370,11,30
19,458,25111,11,30
19,459,24371,17,48
19,459,54,17,48
19,459,17134,17,48
19,460,24456,18,60
19,460,16078,18,60
19,460,25071,18,60
19,462,18896,18,60
19,462,23809,18,60
19,462,20259,18,60
20,459,15219,17,48
20,459,6297,17,48
20,459,22209,17,48
20,460,12587,18,60
20,460,20862,18,60
20,460,1991,18,60
20,462,2484,18,60
20,462,16911,18,60
20,462,19293,18,60
21,457,25243,17,45
21,457,21975,17,45
21,457,17431,17,45
21,459,17471,17,48
21,459,19174,17,48
21,459,9428,,48
21,460,3912,18,60
21,460,8083,18,60
21,460,2352,18,60
21,462,22479,18,60
21,462,15564,18,60
21,462,11183,18,60
22,456,18415,17,45
22,456,4102,17,45
22,456,15742,17,45
22,459,1876,17,48
22,459,24035,17,48
22,459,8839,17,48
22,460,1164,18,60
22,460,24805,18,60
22,460,23251,18,60
22,462,15002,18,60
22,462,4448,18,60
22,462,11120,18,60
23,257,20886,21,174
23,257,17491,21,174
23,260,2858,21,167
23,260,10052,21,167
23,644,3384,38,77
23,644,15461,38,77
23,644,7157,38,77
23,263,25640,21,172
23,263,1330,21,172
23,615,13185,38,69
23,615,3565,38,69
23,970,25914,60,2
23,970,8323,60,2
23,267,17261,21,172
23,267,21125,21,172
23,749,11503,38,80
23,749,10511,38,80
23,749,20605,38,80
23,1072,6645,60,1
23,915,927,38,72
23,915,26060,38,72
23,915,4600,38,72
23,915,25304,38,72
23,915,14830,38,72
23,915,5717,38,72
23,915,11388,38,72
23,915,10378,38,72
23,915,16440,38,72
23,915,23237,38,72
23,915,4872,38,72
23,915,5917,38,72
23,915,2184,38,72
23,915,6860,38,72
23,915,21252,38,72
23,915,5824,38,72
23,915,26096,38,72
23,915,20318,38,72
23,915,3425,38,72
23,915,10852,38,72
23,915,7339,38,72
23,915,20865,38,72
23,915,15994,38,72
23,915,3970,38,72
23,915,16124,38,72
23,915,14053,38,72
23,915,8341,38,72
23,915,3137,38,72
23,915,20807,38,72
23,915,2724,38,72
23,245,11097,21,174
23,245,4893,21,174
23,245,21956,21,174
23,245,11240,21,174
23,245,8215,21,174
23,247,19882,19,64
23,247,20279,19,64
23,247,20238,19,64
23,247,13343,19,64
23,889,4252,38,80
23,889,24516,38,80
23,1022,19711,60,2
23,1022,12003,60,2
23,670,5567,38,72
24,673,23142,25,53
24,1027,3746,60,2
24,643,13084,60,5
24,643,2003,60,5
24,1002,12532,14,25
24,1002,18409,14,25
24,1002,2994,14,25
24,1002,11575,14,25
24,1002,8633,14,25
24,1003,9030,60,5
24,1003,13811,60,5
24,1067,3788,60,5
24,816,11131,25,53
24,625,6655,16,27
24,690,22961,25,53
24,690,13308,25,53
24,690,18438,25,53
24,690,25382,25,53
24,690,13196,25,53
24,690,23659,25,53
24,690,19686,18,53
24,690,1542,25,53
24,690,25070,25,53
24,690,9612,,53
24,276,4170,38,72
24,565,15817,25,53
24,951,17769,16,27
24,888,24161,10,22
24,1016,25066,60,5
24,1016,21523,60,5
24,731,19033,21,135
24,731,4829,21,135
24,731,13546,21,135
24,731,7679,21,135
24,731,5167,21,135
24,1021,19143,60,5
24,701,19829,60,5
24,734,11679,25,56
24,734,8667,25,56
24,734,18694,25,56
24,734,4591,25,56
24,734,15232,25,56
24,734,9908,25,56
24,734,4745,25,56
24,734,5736,25,56
24,734,24353,25,56
24,734,6047,25,56
24,734,25369,25,56
24,734,21662,25,56
24,799,13541,25,56
25,673,3801,25,53
25,643,7315,60,5
25,643,19101,60,5
25,1002,7300,14,25
25,1002,19187,14,25
25,1002,12182,14,25
25,1002,18198,14,25
25,1002,17858,14,25
25,1003,3920,60,5
25,1003,6668,60,5
25,1067,1060,60,5
25,816,22180,25,53
25,625,24694,16,27
25,690,58,25,53
25,690,14586,25,53
25,690,23978,25,53
25,690,11084,25,53
25,690,25629,25,53
25,690,19414,25,53
25,690,20933,25,53
25,690,9917,25,53
25,690,14830,25,53
25,690,4967,25,53
25,276,6968,38,72
25,565,19369,25,53
25,951,12763,16,27
25,888,4095,10,22
25,1016,23968,60,5
25,1016,1494,60,5
25,922,3556,60,2
25,731,25842,21,135
25,731,8568,21,135
25,731,23515,21,135
25,731,16961,21,135
25,731,9201,21,135
25,1021,21262,60,5
25,701,20055,60,5
25,734,20115,25,56
25,734,9057,25,56
25,734,11010,25,56
25,734,21333,25,56
25,734,3724,25,56
25,734,7699,25,56
25,734,10890,25,56
25,734,3434,25,56
25,734,10040,25,56
25,734,26115,25,56
25,734,13875,25,56
25,734,6478,18,56
25,799,3205,25,56
26,673,6488,25,53
26,643,4464,60,5
26,643,22540,60,5
26,1002,7945,14,25
26,1002,2117,14,25
26,1002,17510,14,25
26,1002,15904,14,25
26,1002,5628,14,25
26,1003,20871,60,5
26,1003,3436,60,5
26,1067,8420,60,5
