Dept,Course,Slot,Room,Students
1,240,633,75,60
1,240,10382,75,60
1,241,28322,18,60
1,241,24378,18,60
1,242,23040,6,30
1,242,5269,6,30
1,243,9355,47,90
1,243,9132,47,90
1,243,845,47,90
1,243,16822,47,90
1,244,11025,28,120
1,244,9130,28,120
1,244,28829,28,120
1,244,19303,28,120
1,25,2473,6,30
1,236,32209,57,60
1,236,18858,18,60
1,237,19229,6,30
1,238,17226,18,60
1,238,3089,18,60
1,238,30806,75,60
1,239,4712,18,60
1,239,238,18,60
2,240,29048,18,60
2,240,22787,75,60
2,241,20407,18,60
2,241,12007,57,60
2,242,17424,6,30
2,242,2134,6,30
2,243,818,47,90
2,243,2135,47,90
2,243,3612,47,90
2,243,14827,47,90
2,244,30456,28,120
2,244,4409,28,120
2,244,9398,28,120
2,244,26231,28,120
2,25,19295,6,30
2,236,11011,75,60
2,236,16613,18,60
2,237,29904,6,30
2,238,29345,18,60
2,238,6507,18,60
2,238,127,18,60
2,239,29703,57,60
2,239,7598,57,60
3,240,3745,57,60
3,240,11612,57,60
3,241,8497,18,60
3,241,13706,57,60
3,242,11378,6,30
3,242,10740,6,30
3,243,5395,48,90
3,243,16523,47,90
3,243,31236,47,90
3,243,25181,47,90
3,244,10524,28,120
3,244,11474,28,120
3,244,15676,28,120
3,244,7966,28,120
3,25,6634,6,30
3,236,17081,75,60
3,236,29613,18,60
3,237,23429,6,30
3,238,18217,75,60
3,238,16485,75,60
3,238,27350,75,60
3,239,26517,75,60
3,239,30563,75,60
4,240,4513,18,60
4,240,7455,18,60
4,241,5035,18,60
4,241,22633,18,60
4,242,14666,6,30
4,242,9563,6,30
4,243,8179,47,90
4,243,5051,47,90
4,243,32195,47,90
4,243,3095,47,90
4,244,1892,28,120
4,244,22269,28,120
4,244,15943,28,120
4,244,20884,58,120
4,25,7544,6,30
4,236,8353,75,60
4,236,18908,18,60
4,237,1226,6,30
4,238,30138,57,60
4,238,27557,18,60
4,238,10114,75,60
4,239,1344,18,60
4,239,17593,57,60
5,240,23186,18,60
5,240,27266,18,60
5,241,21445,18,60
5,241,16982,75,60
5,242,2712,6,30
5,242,20505,6,30
5,243,7752,47,90
5,243,8881,47,90
5,243,2681,47,90
5,243,22023,47,90
5,244,29236,28,120
5,244,24254,28,120
5,244,10198,28,120
5,244,20383,28,120
5,25,21472,6,30
5,236,17372,75,60
5,236,2445,18,60
5,237,3856,6,30
5,238,30289,75,60
5,238,20397,18,60
5,238,24355,18,60
5,239,19421,75,60
5,239,22383,18,60
6,240,14793,18,60
6,240,1,75,60
6,241,16896,18,60
6,241,27653,57,60
6,242,4411,6,30
6,242,9005,6,30
6,243,14593,47,90
6,243,21634,47,90
6,243,18855,47,90
6,243,7316,47,90
6,244,21723,28,120
6,244,4497,28,120
6,244,30125,28,120
6,244,29830,28,120
6,25,12667,6,30
6,236,16800,18,60
6,236,1402,18,60
6,237,22962,6,30
6,238,5992,57,60
6,238,6053,75,60
6,238,31718,57,60
6,239,15720,57,60
6,239,13711,57,60
7,240,14785,18,60
7,240,27020,18,60
7,241,30938,18,60
7,241,20831,18,60
7,242,30209,6,30
7,242,9331,6,30
7,243,26812,47,90
7,243,21276,47,90
7,243,29709,47,90
7,243,271,47,90
7,244,23035,28,120
7,244,14935,28,120
7,244,41,28,120
7,244,18671,28,120
7,25,4253,6,30
7,236,25137,75,60
7,236,15735,57,60
7,237,20871,6,30
7,238,19553,18,60
7,238,22075,57,60
7,238,15469,18,60
7,239,12152,75,60
7,239,13839,57,60
8,240,29377,75,60
8,240,18436,75,60
8,241,681,18,60
8,241,7301,18,60
8,242,13888,6,30
8,242,26523,6,30
8,243,9298,47,90
8,243,6436,47,90
8,243,13885,47,90
8,243,20271,47,90
8,244,22737,28,120
8,244,14402,28,120
8,244,6653,28,120
8,244,25722,28,120
8,25,32115,6,30
8,236,23897,47,60
8,236,7113,18,60
8,237,19728,6,30
8,238,5339,18,60
8,238,612,75,60
8,238,2103,75,60
8,239,345,75,60
8,239,19039,75,60
9,240,25586,18,60
9,240,10900,18,60
9,241,19777,57,60
9,241,23579,18,60
