Department,Course,Slot,Room,Students
1,33,17360,14,60
1,33,22452,5,60
1,35,16277,9,30
1,29,10910,5,30
2,33,1486,14,60
2,33,25443,14,60
2,35,16830,18,30
2,29,4754,18,30
3,33,27587,14,60
3,33,32072,14,60
3,35,22382,19,30
3,29,8323,5,30
4,33,1899,14,60
4,33,13660,14,60
4,35,13020,19,30
4,29,26753,5,30
5,33,24543,14,60
5,33,11717,14,60
5,35,6448,18,30
5,29,4099,19,30
6,33,27772,14,60
6,33,1672,14,60
6,35,16048,18,30
6,29,14165,19,30
7,33,25284,14,60
7,33,14951,5,60
7,35,4153,9,30
7,29,24328,9,30
8,33,8307,14,60
8,33,6878,5,60
8,35,4990,18,30
8,29,2250,19,30
9,33,17449,14,60
9,33,878,14,60
9,35,23462,9,30
9,29,1139,5,30
10,33,14741,14,60
10,33,13988,14,60
10,35,12603,19,30
10,29,10899,19,30
11,33,23999,14,60
11,33,18986,5,60
11,35,232,19,30
11,29,5115,19,30
12,33,16632,14,60
12,33,6181,14,60
12,35,25562,19,30
12,29,28151,18,30
13,33,8452,14,60
13,33,8810,14,60
13,35,20141,15,30
13,29,5268,18,30
14,33,11137,14,60
14,33,16712,14,60
14,35,13314,19,30
14,29,24655,18,30
15,33,11494,,60
15,33,31396,14,60
15,35,9948,18,30
15,29,10775,18,30
16,33,12399,14,60
16,33,25067,14,60
16,35,14266,9,30
16,29,4672,19,30
17,33,24885,14,60
17,33,22193,14,60
17,35,6314,5,30
17,29,30723,18,30
18,33,29331,14,60
18,33,24927,14,60
18,35,7271,19,30
18,29,1062,18,30
19,33,26773,5,60
19,33,517,14,60
19,35,24967,18,30
19,29,12135,19,30
20,33,14254,14,60
20,33,2346,14,60
20,35,29987,19,30
20,29,4410,18,30
21,33,22475,14,60
21,33,27662,14,60
21,35,23622,19,30
21,29,6196,9,30
22,33,15607,14,60
22,33,4105,14,60
22,35,26754,5,30
22,29,1843,18,30
23,33,1639,14,60
23,33,25478,14,60
23,35,12787,18,30
23,29,1729,19,30
24,33,26813,14,60
24,33,17084,14,60
24,35,13766,18,30
24,29,31322,19,30
25,33,27836,14,60
25,33,22043,14,60
25,35,378,18,30
25,29,4853,19,30
26,33,534,14,60
26,33,13185,14,60
26,35,9897,18,30
26,29,31107,19,30
27,33,19071,14,60
27,33,32245,10,60
27,35,9799,19,30
27,29,22293,9,30
28,33,21874,10,60
28,33,15794,14,60
28,35,3044,18,30
28,29,1915,18,30
29,33,11779,10,60
29,33,1726,10,60
29,35,29607,19,30
29,29,8859,19,30
30,33,28862,14,60
30,33,9322,14,60
30,35,6509,18,30
30,29,25479,9,30
31,32,8219,29,150
31,32,6871,29,150
31,32,12052,1,150
31,32,21984,1,150
31,32,30896,29,150
31,32,27760,1,150
31,34,8509,14,60
31,34,16617,14,60
31,36,887,14,60
31,36,9332,14,60
31,37,24334,29,150
31,37,718,29,150
31,37,21235,1,150
31,37,20136,4,150
31,37,18535,29,150
31,25,1361,14,60
31,25,14081,10,60
31,25,14968,5,60
31,26,3206,14,60
31,26,27919,10,60
31,26,29546,14,60
31,27,8198,14,60
31,27,9830,14,60
