Dept,Course,Slot,Room,Students
1,240,22152,47,60
1,240,11182,18,60
1,241,25122,75,60
1,241,3068,18,60
1,242,2768,6,30
1,242,24553,6,30
1,243,15912,47,90
1,243,23233,47,90
1,243,5003,47,90
1,243,1199,47,90
1,244,24825,28,120
1,244,3083,28,120
1,244,16956,28,120
1,244,21878,28,120
1,25,20923,6,30
1,236,21532,18,60
1,236,28613,18,60
1,237,14657,6,30
1,238,22106,57,60
1,238,27241,18,60
1,238,1823,57,60
1,239,685,18,60
1,239,24727,18,60
2,240,20662,18,60
2,240,23678,57,60
2,241,26947,57,60
2,241,9403,18,60
2,242,4844,6,30
2,242,8678,6,30
2,243,2160,47,90
2,243,19922,47,90
2,243,25602,47,90
2,243,525,47,90
2,244,8828,28,120
2,244,29332,28,120
2,244,7996,28,120
2,244,29300,28,120
2,25,7436,6,30
2,236,362,75,60
2,236,30589,75,60
2,237,10276,6,30
2,238,15240,18,60
2,238,1520,57,60
2,238,22744,75,60
2,239,24032,57,60
2,239,13188,18,60
3,240,4044,75,60
3,240,18588,18,60
3,241,26238,75,60
3,241,19758,57,60
3,242,4945,6,30
3,242,19046,6,30
3,243,14195,47,90
3,243,10404,47,90
3,243,16494,47,90
3,243,3599,47,90
3,244,28240,28,120
3,244,17639,28,120
3,244,9119,14,120
3,244,6870,28,120
3,25,2737,6,30
3,236,2996,18,60
3,236,31207,18,60
3,237,2996,6,30
3,238,27128,75,60
3,238,16192,75,60
3,238,25534,18,60
3,239,29739,57,60
3,239,31566,18,60
4,240,21796,57,60
4,240,23862,57,60
4,241,23761,57,60
4,241,27140,75,60
4,242,9912,6,30
4,242,13919,6,30
4,243,7346,47,90
4,243,2924,47,90
4,243,24229,47,90
4,243,8341,47,90
4,244,20976,28,120
4,244,12797,28,120
4,244,14438,28,120
4,244,29391,28,120
4,25,31761,6,30
4,236,13936,57,60
4,236,3971,57,60
4,237,27896,6,30
4,238,22711,18,60
4,238,11522,57,60
4,238,8271,18,60
4,239,1832,57,60
4,239,11017,75,60
5,240,502,18,60
5,240,29087,75,60
5,241,24476,75,60
5,241,30350,18,60
5,242,31306,6,30
5,242,28469,6,30
5,243,2372,47,90
5,243,764,47,90
5,243,8598,47,90
5,243,6436,47,90
5,244,6923,28,120
5,244,15486,28,120
5,244,23734,28,120
5,244,15406,28,120
5,25,27754,6,30
5,236,24747,18,60
5,236,22741,75,60
5,237,3519,6,30
5,238,22218,75,60
5,238,14884,18,60
5,238,5086,18,60
5,239,23272,18,60
5,239,14003,57,60
6,240,31193,75,60
6,240,29530,18,60
6,241,21757,57,60
6,241,5909,57,60
6,242,28684,6,30
6,242,207,6,30
6,243,16568,47,90
6,243,15169,47,90
6,243,29887,47,90
6,243,6829,47,90
6,244,10162,28,120
6,244,30426,14,120
6,244,2275,28,120
6,244,20503,28,120
6,25,6966,6,30
6,236,11057,18,60
6,236,5085,18,60
6,237,29931,6,30
6,238,14321,18,60
6,238,14659,18,60
6,238,23727,57,60
6,239,31744,57,60
6,239,23213,18,60
7,240,26489,75,60
7,240,20612,18,60
7,241,32064,57,60
7,241,4599,75,60
7,242,6464,6,30
7,242,21895,6,30
7,243,31720,47,90
7,243,1304,47,90
7,243,7660,47,90
7,243,14516,47,90
7,244,13000,28,120
7,244,19623,28,120
7,244,24470,28,120
7,244,758,28,120
7,25,24884,6,30
7,236,26872,75,60
7,236,9242,75,60
7,237,3633,6,30
7,238,12748,75,60
7,238,23838,57,60
7,238,22999,18,60
7,239,9622,57,60
7,239,26791,75,60
8,240,15313,75,60
8,240,18478,75,60
8,241,13266,75,60
8,241,11419,18,60
8,242,18694,6,30
8,242,7496,6,30
8,243,13629,47,90
8,243,8147,47,90
8,243,7764,47,90
8,243,7641,47,90
8,244,27866,28,120
8,244,634,28,120
8,244,10338,28,120
8,244,6847,28,120
8,25,30078,6,30
8,236,4306,75,60
8,236,15329,75,60
8,237,11723,6,30
8,238,11003,75,60
8,238,16134,75,60
8,238,20951,18,60
8,239,16308,18,60
8,239,13524,47,60
9,240,30164,57,60
9,240,4605,75,60
9,241,11912,57,60
9,241,25493,18,60
9,242,14738,6,30
9,242,13991,6,30
9,243,12025,47,90
9,243,27018,47,90
9,243,14803,47,90
9,243,10069,47,90
9,244,21082,28,120
9,244,31924,28,120
9,244,25434,28,120
9,244,18951,28,120
9,25,9214,6,30
9,236,28959,18,60
9,236,19831,57,60
9,237,17251,6,30
9,238,17042,75,60
9,238,3078,18,60
9,238,1906,57,60
9,239,20704,18,60
9,239,4862,18,60
10,240,532,18,60
10,240,10405,75,60
10,241,30291,75,60
