Department,Course,Slot,Room,Students
1,176,12555,7,36
1,176,32528,7,36
1,177,32209,7,36
1,177,23306,7,36
1,178,14630,5,18
1,179,18407,7,36
1,179,29354,7,36
1,180,34826,7,36
1,180,24458,7,36
1,174,224,5,18
1,175,9444,5,18
2,176,20333,44,36
2,176,3399,7,36
2,177,31125,7,36
2,177,35004,7,36
2,178,18137,5,18
2,179,17011,7,36
2,179,30265,7,36
2,180,15510,44,36
2,180,36170,7,36
2,174,25345,5,18
2,175,20981,5,18
3,176,2352,7,36
3,176,31744,7,36
3,177,8565,7,36
3,177,4622,7,36
3,178,13957,5,18
3,179,29424,7,36
3,179,25545,7,36
3,180,19702,7,36
3,180,8207,7,36
3,174,468,5,18
3,175,9661,5,18
4,176,15144,7,36
4,176,20060,7,36
4,177,29778,7,36
4,177,29239,7,36
4,178,15970,5,18
4,179,37437,7,36
4,179,12154,7,36
4,180,23217,7,36
4,180,12698,7,36
4,174,14390,5,18
4,175,3642,5,18
5,176,37477,7,36
5,176,20528,7,36
5,177,2419,7,36
5,177,16255,44,36
5,178,12120,5,18
5,179,5412,7,36
5,179,17803,7,36
5,180,35459,7,36
5,180,32671,7,36
5,174,12892,5,18
5,175,18533,5,18
6,176,4955,7,36
6,176,23768,7,36
6,177,10176,7,36
6,177,29203,7,36
6,178,10610,5,18
6,179,10001,7,36
6,179,37038,7,36
6,180,35399,7,36
6,180,21755,7,36
6,174,6241,5,18
6,175,14325,5,18
7,176,25731,7,36
7,176,37018,7,36
7,177,34332,7,36
7,177,34442,7,36
7,178,25141,5,18
7,179,27448,7,36
7,179,6504,7,36
7,180,11964,7,36
7,180,2911,7,36
7,174,20609,5,18
7,175,36875,5,18
8,176,37534,7,36
8,176,34779,7,36
8,177,9500,7,36
8,177,22217,7,36
8,178,32461,5,18
8,179,9648,7,36
8,179,20544,7,36
8,180,37957,7,36
8,180,27688,7,36
8,174,1655,5,18
8,175,20136,5,18
9,176,2971,7,36
9,176,15111,7,36
9,177,8325,7,36
9,177,4273,7,36
9,178,23341,5,18
9,179,35334,7,36
9,179,3547,7,36
9,180,36863,7,36
9,180,17480,7,36
9,174,30628,5,18
9,175,36790,5,18
10,176,28359,7,36
10,176,11550,7,36
10,177,11654,7,36
10,177,3053,7,36
10,178,37413,5,18
10,179,22416,44,36
10,179,26828,7,36
10,180,34180,7,36
10,180,3247,7,36
10,174,8093,5,18
10,175,8077,5,18
11,176,12427,7,36
11,176,32803,7,36
11,177,13376,7,36
11,177,15382,44,36
11,178,6603,5,18
11,179,37554,7,36
11,179,11282,7,36
11,180,4604,7,36
11,180,20229,7,36
11,174,17606,5,18
11,175,1292,5,18
12,176,1394,7,36
12,176,5767,7,36
12,177,31279,7,36
12,177,14711,7,36
12,178,9970,5,18
12,179,1118,7,36
12,179,30837,7,36
12,180,31753,7,36
12,180,26280,7,36
12,174,7704,5,18
12,175,24987,5,18
13,176,1795,7,36
13,176,14492,7,36
13,177,3186,7,36
13,177,31778,7,36
13,178,344,5,18
13,179,17332,7,36
13,179,19543,7,36
13,180,17592,7,36
13,180,32988,7,36
13,174,14007,5,18
13,175,6321,5,18
14,176,2648,7,36
14,176,35818,7,36
14,177,30206,7,36
14,177,19964,7,36
14,178,35225,5,18
14,179,37804,7,36
14,179,36878,7,36
14,180,24683,7,36
14,180,14852,7,36
14,174,13000,5,18
14,175,22095,5,18
15,176,19350,7,36
15,176,34818,7,36
