Department,Course,Slot,Room,Students
1,240,23262,18,60
1,240,305,75,60
1,241,29402,75,60
1,241,24754,75,60
1,242,15176,6,30
1,242,30155,6,30
1,243,3926,47,90
1,243,3085,47,90
1,243,107,47,90
1,243,28345,47,90
1,244,19030,28,120
1,244,28063,28,120
1,244,15706,28,120
1,244,11879,28,120
1,25,6334,6,30
1,236,5846,57,60
1,236,20959,18,60
1,237,26528,6,30
1,238,23391,75,60
1,238,14659,18,60
1,238,3480,57,60
1,239,24817,75,60
1,239,29713,57,60
2,240,23769,57,60
2,240,449,18,60
2,241,9042,18,60
2,241,1815,57,60
2,242,14141,6,30
2,242,20577,6,30
2,243,27788,47,90
2,243,12988,47,90
2,243,13640,47,90
2,243,1655,47,90
2,244,31618,28,120
2,244,16374,28,120
2,244,20877,58,120
2,244,12287,28,120
2,25,1085,6,30
2,236,31300,18,60
2,236,12926,18,60
2,237,28144,6,30
2,238,9280,75,60
2,238,16591,18,60
2,238,9953,57,60
2,239,4549,18,60
2,239,4078,75,60
3,240,20512,75,60
3,240,26716,18,60
3,241,16934,18,60
3,241,24274,75,60
3,242,30363,6,30
3,242,28679,6,30
3,243,14082,47,90
3,243,21357,47,90
3,243,27591,47,90
3,243,32235,47,90
3,244,25126,28,120
3,244,575,28,120
3,244,7024,28,120
3,244,12872,28,120
3,25,19367,6,30
3,236,29330,18,60
3,236,11815,57,60
3,237,26034,6,30
3,238,14369,18,60
3,238,23744,57,60
3,238,12217,18,60
3,239,970,18,60
3,239,30040,57,60
4,240,7644,57,60
4,240,23352,75,60
4,241,30581,75,60
4,241,26032,57,60
4,242,18097,6,30
4,242,17755,6,30
4,243,13725,47,90
4,243,21263,47,90
4,243,4706,47,90
4,243,5148,47,90
4,244,15531,28,120
4,244,29283,14,120
4,244,26207,28,120
4,244,24462,28,120
4,25,30602,6,30
4,236,5675,57,60
4,236,24078,57,60
4,237,5214,6,30
4,238,31874,57,60
4,238,12448,75,60
4,238,30163,57,60
4,239,4607,75,60
4,239,2876,75,60
5,240,5158,18,60
5,240,4218,18,60
5,241,32089,57,60
5,241,31066,18,60
5,242,21757,6,30
5,242,31244,6,30
5,243,9270,47,90
5,243,12839,47,90
5,243,14719,47,90
5,243,28734,47,90
5,244,14586,3,120
5,244,32023,28,120
5,244,23361,28,120
5,244,27531,28,120
5,25,3466,6,30
5,236,15233,18,60
5,236,9419,18,60
5,237,1263,6,30
5,238,29587,18,60
5,238,10125,75,60
5,238,28596,75,60
5,239,26812,75,60
5,239,16565,18,60
6,240,30057,57,60
6,240,8008,57,60
6,241,16388,18,60
6,241,20443,75,60
6,242,25963,6,30
6,242,24213,6,30
6,243,3580,47,90
6,243,32091,47,90
6,243,3385,47,90
6,243,31674,47,90
6,244,7169,28,120
6,244,15385,28,120
6,244,27127,28,120
6,244,4136,28,120
6,25,7089,6,30
6,236,17607,57,60
6,236,20888,18,60
6,237,2242,6,30
6,238,5817,57,60
6,238,25064,75,60
6,238,4621,75,60
6,239,9787,47,60
6,239,18170,75,60
7,240,28061,57,60
