Dept,Course,Slot,Room,Students
1,432,1505,13,392
1,432,20488,13,392
1,433,20243,13,460
1,433,22329,13,460
1,482,13018,18,59
1,445,17754,68,68
1,447,16317,38,100
2,432,24659,13,392
2,432,25921,13,392
2,433,19314,13,460
2,433,17776,13,460
2,482,8819,18,59
2,445,4942,68,68
2,447,18921,38,100
3,432,21042,13,392
3,432,2132,47,392
3,433,13105,13,460
3,433,11044,13,460
3,482,4104,18,59
3,445,24573,68,68
3,447,16469,38,100
4,432,25642,13,392
4,432,21614,13,392
4,433,6975,13,460
4,433,6756,47,460
4,482,2360,18,59
4,445,16108,68,68
4,447,12479,38,100
5,432,13891,13,392
5,432,2676,13,392
5,433,7684,13,460
5,433,13436,13,460
5,482,18512,18,59
5,445,17239,68,68
5,447,19256,38,100
6,432,26145,13,392
6,432,3836,13,392
6,433,1974,13,460
6,433,1799,13,460
6,482,3504,18,59
6,445,25414,68,68
6,447,5772,38,100
7,459,815,17,48
7,459,15719,17,48
7,459,13463,17,48
7,460,9858,18,60
7,460,20514,18,60
7,460,23319,18,60
7,462,7985,18,60
7,462,5022,18,60
7,462,5406,18,60
8,459,13935,17,48
8,459,5100,17,48
8,459,23035,17,48
8,460,4922,18,60
8,460,18190,18,60
8,460,5974,18,60
8,462,10447,18,60
8,462,19596,18,60
8,462,2086,18,60
9,459,15717,17,48
9,459,14842,17,48
9,459,2831,17,48
9,460,9698,,60
9,460,16304,18,60
9,460,21711,18,60
9,462,22853,18,60
9,462,25025,18,60
9,462,5648,18,60
10,459,308,17,48
10,459,6858,17,48
10,459,18333,17,48
10,460,8584,18,60
10,460,9780,18,60
10,460,17774,18,60
10,462,25769,18,60
10,462,5024,18,60
10,462,12063,18,60
11,456,5024,17,45
11,456,22489,17,45
11,456,2597,17,45
11,459,25346,17,48
11,459,10140,17,48
11,459,12745,17,48
11,460,5275,18,60
11,460,19366,18,60
11,460,14742,18,60
11,462,22275,18,60
11,462,20373,18,60
11,462,16923,18,60
12,458,26083,11,30
12,458,22804,11,30
12,458,4021,11,30
12,459,17485,17,48
12,459,15638,17,48
12,459,22129,17,48
12,460,15489,18,60
12,460,14860,18,60
12,460,9408,,60
12,462,13862,18,60
12,462,20221,18,60
12,462,11622,18,60
13,459,5705,17,48
13,459,24802,17,48
13,459,25620,17,48
13,460,24960,18,60
13,460,23058,18,60
13,460,14591,18,60
13,462,25458,18,60
13,462,25757,18,60
13,462,17110,18,60
14,467,7156,38,71
14,467,16201,38,71
14,467,9438,,71
14,459,11251,17,48
14,459,15508,17,48
14,459,23613,17,48
14,460,6232,18,60
14,460,17553,18,60
14,460,4278,18,60
14,461,9298,17,45
14,461,17148,17,45
14,461,6582,17,45
14,462,8619,18,60
14,462,25782,18,60
14,462,20382,18,60
15,457,12307,17,45
15,457,19008,17,45
15,457,24203,17,45
15,459,16276,17,48
15,459,1266,17,48
15,459,9445,,48
15,460,23552,18,60
15,460,21513,18,60
15,460,5239,18,60
15,462,22410,18,60
15,462,5068,18,60
15,462,2182,18,60
16,459,14060,17,48
16,459,1444,17,48
16,459,21455,17,48
16,460,3551,18,60
16,460,4382,18,60
16,460,13335,18,60
16,462,664,18,60
16,462,6469,18,60
16,462,18703,18,60
17,467,4377,38,71
17,467,14681,38,71
17,467,17187,38,71
17,459,12826,17,48
17,459,4710,17,48
17,459,1215,17,48
17,460,13933,18,60
17,460,462,18,60
17,460,13334,18,60
17,461,20000,17,45
17,461,11382,17,45
17,461,21287,17,45
17,462,14366,18,60
17,462,5846,18,60
17,462,4006,18,60
18,459,16543,17,48
18,459,9116,17,48
18,459,1540,17,48
18,460,14152,18,60
18,460,5728,18,60
18,460,25141,18,60
18,462,13937,18,60
18,462,23740,18,60
18,462,15430,18,60
19,458,2346,11,30
19,458,21283,11,30
19,458,20766,11,30
19,459,23296,17,48
19,459,746,17,48
19,459,11215,17,48
19,460,25936,18,60
19,460,25906,18,60
19,460,7250,18,60
19,462,7896,18,60
19,462,394,18,60
19,462,11748,18,60
20,459,40,17,48
20,459,7993,17,48
20,459,2279,17,48
20,460,23856,18,60
20,460,11825,18,60
20,460,3431,18,60
20,462,10071,18,60
20,462,4140,18,60
20,462,6484,18,60
21,457,16743,17,45
21,457,14147,17,45
21,457,7859,17,45
21,459,11413,17,48
21,459,22037,17,48
21,459,9104,17,48
21,460,23009,18,60
21,460,23457,18,60
21,460,25276,18,60
21,462,17153,18,60
21,462,14390,18,60
21,462,15967,18,60
22,456,4144,17,45
22,456,7438,17,45
22,456,19247,17,45
22,459,9561,17,48
22,459,13130,17,48
22,459,24806,17,48
22,460,2537,18,60
22,460,11684,18,60
22,460,5870,18,60
22,462,8113,18,60
22,462,21726,18,60
22,462,23206,18,60
23,257,19326,21,174
23,257,3759,21,174
23,260,5556,21,167
23,260,22683,21,167
23,644,5424,38,77
23,644,20769,38,77
23,644,6967,38,77
23,263,19554,21,172
23,263,17709,21,172
23,615,8523,38,69
23,615,24534,38,69
23,970,11184,60,2
23,970,2399,60,2
23,267,1842,21,172
23,267,18888,21,172
23,749,11334,38,80
23,749,4011,38,80
23,749,11350,38,80
23,1072,9967,60,1
23,915,16642,38,72
23,915,9863,38,72
23,915,17294,38,72
23,915,16526,38,72
23,915,7442,38,72
23,915,24855,38,72
23,915,8211,38,72
23,915,459,38,72
23,915,13982,38,72
23,915,15519,38,72
23,915,11425,38,72
23,915,6306,38,72
23,915,22953,38,72
23,915,24931,38,72
23,915,7730,38,72
23,915,18007,38,72
23,915,12177,38,72
23,915,25026,38,72
23,915,8658,38,72
23,915,7275,38,72
23,915,21216,38,72
23,915,2914,38,72
23,915,5350,38,72
23,915,620,38,72
23,915,3825,38,72
23,915,2037,38,72
23,915,14070,38,72
23,915,3835,38,72
23,915,21788,38,72
23,915,17535,38,72
23,245,22288,21,174
23,245,16356,21,174
23,245,6736,21,174
23,245,23081,21,174
23,245,1002,21,174
23,247,14609,19,64
23,247,15869,19,64
23,247,941,19,64
23,247,22545,19,64
23,889,17703,38,80
23,889,2207,38,80
23,1022,8534,60,2
23,1022,21511,60,2
23,670,18382,38,72
24,673,11021,25,53
24,1027,11357,60,2
24,643,1687,60,5
24,643,3487,60,5
24,1002,6848,14,25
24,1002,11212,14,25
24,1002,13063,14,25
24,1002,5073,14,25
24,1002,20687,14,25
24,1003,5672,60,5
24,1003,16727,60,5
24,1067,17644,60,5
24,816,18412,25,53
24,625,1489,16,27
24,690,1476,25,53
24,690,10182,25,53
24,690,26207,25,53
24,690,14156,25,53
24,690,12666,25,53
24,690,2448,25,53
24,690,17076,25,53
24,690,8404,25,53
24,690,18551,25,53
24,690,11036,25,53
24,276,13326,38,72
24,565,25968,25,53
24,951,2817,16,27
24,888,6942,10,22
24,1016,14815,60,5
24,1016,10718,60,5
24,731,22754,21,135
24,731,17706,21,135
24,731,687,21,135
24,731,5606,21,135
24,731,8762,21,135
24,1021,5098,60,5
24,701,6251,60,5
24,734,10561,25,56
24,734,11972,25,56
24,734,12711,25,56
24,734,3564,25,56
24,734,21362,25,56
24,734,13170,25,56
24,734,9878,25,56
24,734,11927,25,56
24,734,22317,25,56
24,734,10333,25,56
24,734,21950,25,56
24,734,5663,25,56
24,799,20042,25,56
25,673,3093,25,53
25,643,20480,60,5
25,643,9758,,5
25,1002,25259,14,25
25,1002,5860,14,25
25,1002,2124,14,25
25,1002,5490,14,25
25,1002,14559,14,25
25,1003,8473,60,5
25,1003,12494,60,5
25,1067,7157,60,5
25,816,3349,25,53
25,625,19604,16,27
25,690,128,25,53
25,690,20864,25,53
