Department,Course,Slot,Room,Students
1,352,11478,21,10
1,353,32177,21,10
1,351,30246,21,5
2,305,8834,,287
2,305,24350,,287
2,305,7515,,287
2,305,29868,,287
2,305,10497,,287
2,305,1053,,287
2,305,29614,,287
2,101,23695,58,200
2,101,24794,58,200
2,101,11836,58,200
2,101,4498,58,200
2,101,15758,58,200
2,134,16671,58,180
2,134,14111,58,180
2,134,9433,58,180
2,134,8808,58,180
2,134,10672,58,180
2,134,17433,,180
2,137,1006,,78
2,137,12592,45,78
2,138,9902,25,35
2,139,25195,,62
2,139,5742,45,62
2,111,8728,,700
3,96,13472,45,70
3,96,7176,45,70
3,102,26298,45,80
3,102,16957,45,80
3,201,8224,58,175
3,201,30293,58,175
3,201,3718,58,175
3,201,11887,58,175
3,201,24074,58,175
3,60,11651,45,70
3,60,14030,45,70
3,45,15447,,500
3,45,12278,,500
4,1,14077,,500
4,5,31799,45,80
4,5,25631,45,80
4,6,14359,45,100
4,55,12317,25,35
5,130,5812,58,140
5,130,22300,58,140
5,130,29249,58,140
5,130,20701,58,140
5,133,1095,58,234
5,133,29698,58,234
5,133,14698,58,234
5,133,23975,58,234
5,133,25629,58,234
5,133,22645,58,234
5,134,9122,58,180
5,134,24370,58,180
5,134,14696,58,180
5,134,12480,58,180
5,134,27751,58,180
5,134,29191,58,180
5,135,13996,45,70
5,135,8431,45,70
5,140,27356,45,98
5,140,10275,45,98
5,140,20298,45,98
5,140,5877,45,98
5,111,15980,,700
5,287,8889,58,240
5,287,8919,58,240
5,287,10122,58,240
5,287,8220,58,240
5,287,17176,58,240
5,287,20432,58,240
6,305,15115,,287
6,305,10500,,287
6,305,7039,,287
6,305,5731,,287
6,305,3741,,287
6,305,19369,,287
6,305,9918,,287
6,97,22865,,318
6,97,7122,,318
6,97,27071,,318
6,97,4426,,318
6,97,1318,,318
6,97,71,,318
6,97,28028,,318
6,133,950,58,234
6,133,15697,58,234
6,133,11006,58,234
6,133,4903,58,234
6,133,7375,58,234
6,133,17415,58,234
6,101,5530,58,200
6,101,28681,58,200
6,101,1158,58,200
6,101,25570,58,200
6,101,17628,58,200
6,137,26477,45,78
6,137,7381,45,78
6,138,7393,25,35
6,139,15475,45,62
6,139,3350,45,62
6,111,17207,,700
7,1,17261,,500
7,5,26344,45,80
7,5,2766,45,80
7,6,7904,45,100
8,1,8203,,500
8,5,11490,45,80
8,5,22171,45,80
8,54,15938,58,168
8,54,4595,58,168
8,54,3025,,168
8,54,29442,58,168
8,6,944,45,100
9,145,5936,58,180
9,145,3907,58,180
9,145,17266,58,180
9,145,31413,58,180
9,145,26282,58,180
9,145,30987,58,180
9,130,1174,58,140
9,130,25867,58,140
9,130,26103,58,140
9,130,28803,58,140
9,146,11126,58,180
9,146,23266,58,180
9,146,334,58,180
9,146,24849,58,180
9,146,4097,58,180
9,146,10664,58,180
9,147,16199,45,70
9,147,29658,45,70
9,150,24760,45,102
9,150,10700,45,102
9,150,23347,45,102
