Dept,Course,Slot,Room,Students
1,101,27465,2,78
1,101,20187,2,78
1,101,20942,2,78
1,298,11403,4,60
1,298,18716,4,60
1,298,20847,4,60
1,218,15424,,306
1,218,2526,,306
1,218,6946,,306
1,218,1027,,306
1,218,7458,,306
1,218,30434,,306
1,218,17225,,306
1,218,4584,,306
1,218,6719,,306
1,218,9006,,306
1,218,15698,,306
1,218,1907,,306
1,218,17363,,306
1,218,21692,,306
1,218,15197,,306
1,218,28222,,306
1,218,16991,,306
1,459,31030,79,150
1,459,9924,79,150
1,459,1161,79,150
1,459,27219,79,150
1,459,1595,79,150
2,536,22877,6,38
2,280,2532,5,29
3,295,5355,19,55
3,295,16623,19,55
3,540,10829,5,30
3,236,31082,2,78
3,236,11941,2,78
3,236,9110,2,78
4,307,23858,4,61
4,307,25816,4,61
4,535,3448,11,32
4,536,3439,6,38
4,540,9455,5,30
4,159,4657,75,27
5,3,32122,2,75
5,3,20406,2,75
5,3,2137,2,75
5,535,6878,22,32
5,536,11456,6,38
5,541,27118,75,28
6,236,28476,2,78
6,236,12806,2,78
6,236,25823,2,78
6,541,4608,75,28
6,318,19228,75,28
7,307,19014,4,61
7,307,4919,4,61
7,534,23130,11,33
7,104,16366,7,42
7,298,17145,4,60
7,298,8221,4,60
7,298,4506,4,60
8,1,4376,79,100
8,1,31922,79,100
8,1,5450,79,100
8,1,7526,79,100
8,535,14068,22,32
8,103,21384,4,60
8,103,15608,4,60
8,298,15584,4,60
8,298,9629,4,60
8,298,15867,4,60
8,540,12408,5,30
9,307,6104,4,61
9,307,17846,4,61
9,540,13538,5,30
9,541,10204,75,28
10,307,17987,4,61
10,307,21283,4,61
10,3,18958,2,75
10,3,23390,2,75
10,3,10391,2,75
10,536,24607,6,38
10,540,6638,5,30
10,318,2173,75,28
11,307,19242,4,61
11,307,5695,4,61
11,535,11777,22,32
11,295,669,19,55
11,295,18670,19,55
11,536,20491,6,38
12,534,4232,11,33
12,535,32187,22,32
12,104,21071,7,42
12,314,15331,2,88
12,314,4380,2,88
12,314,12694,2,88
12,540,231,5,30
12,510,1237,26,24
13,161,2224,79,105
13,161,3977,79,105
13,161,2779,79,105
13,3,11744,2,75
13,3,9052,2,75
13,3,10935,2,75
13,535,5925,22,32
13,236,22858,2,78
13,236,6452,2,78
13,236,6351,2,78
14,536,20697,6,38
14,104,22654,7,42
14,510,19527,26,24
15,459,31906,79,150
15,459,3658,79,150
15,459,206,79,150
15,459,25495,79,150
15,459,14205,79,150
16,1,22645,79,100
16,1,28682,79,100
16,1,27162,79,100
16,1,3067,79,100
16,510,18490,26,24
17,3,4008,2,75
17,3,25832,2,75
17,3,26959,2,75
17,536,30049,6,38
17,298,16854,4,60
17,298,24747,4,60
17,298,8298,4,60
17,314,9913,2,88
17,314,25126,2,88
17,314,23709,2,88
17,236,5591,2,78
17,236,21133,2,78
17,236,3884,2,78
17,510,141,26,24
18,535,16276,11,32
18,318,15983,75,28
19,161,2784,79,105
19,161,16033,79,105
19,161,606,79,105
19,307,7657,4,61
19,307,2124,4,61
20,36,10228,45,15
21,1,711,79,100
21,1,7372,79,100
21,1,17759,79,100
21,1,18543,79,100
21,103,29329,4,60
21,103,24381,4,60
21,536,47,6,38
21,314,9680,2,88
21,314,22124,2,88
21,314,15572,2,88
22,535,293,11,32
22,536,22039,6,38
23,161,27067,79,105
23,161,31777,79,105
23,161,22059,79,105
23,536,6350,6,38
23,540,25094,5,30
24,534,8622,11,33
24,536,1399,6,38
24,104,22837,7,42
24,298,20258,4,60
24,298,6291,4,60
24,298,2327,4,60
25,236,11209,2,78
25,236,18201,2,78
25,236,23609,2,78
25,159,19906,62,27
26,535,8549,11,32
26,536,25564,6,38
26,540,14793,5,30
26,236,12042,2,78
26,236,25982,2,78
26,236,26455,2,78
27,535,32045,22,32
27,280,20768,5,29
27,236,25305,2,78
27,236,25500,2,78
