Department,Course,Slot,Room,Students
1,101,3980,2,78
1,101,8750,2,78
1,101,24664,2,78
1,298,22935,4,60
1,298,6264,4,60
1,298,19130,4,60
1,218,9871,,306
1,218,28582,,306
1,218,32061,,306
1,218,22438,,306
1,218,2547,,306
1,218,21138,,306
1,218,18054,,306
1,218,1692,,306
1,218,26665,,306
1,218,7237,,306
1,218,20227,,306
1,218,4689,,306
1,218,21489,,306
1,218,19303,,306
1,218,6685,,306
1,218,12463,,306
1,218,24350,,306
1,459,29874,79,150
1,459,4239,79,150
1,459,29516,79,150
1,459,13898,79,150
1,459,5633,79,150
2,536,23882,6,38
2,280,12366,5,29
3,295,25343,19,55
3,295,9454,19,55
3,540,10391,5,30
3,236,16280,2,78
3,236,17260,2,78
3,236,23772,2,78
4,307,29452,4,61
4,307,6397,4,61
4,535,9246,11,32
4,536,20118,6,38
4,540,23035,5,30
4,159,11187,62,27
5,3,14702,2,75
5,3,10458,2,75
5,3,20527,2,75
5,535,9329,11,32
5,536,13875,6,38
5,541,3595,75,28
6,236,30188,2,78
6,236,10141,2,78
6,236,7094,2,78
6,541,13524,75,28
6,318,30008,75,28
7,307,29226,4,61
7,307,28650,4,61
7,534,2643,11,33
7,104,22401,7,42
7,298,29523,4,60
7,298,14640,4,60
7,298,4073,4,60
8,1,3156,79,100
8,1,19607,79,100
8,1,28736,79,100
8,1,7630,79,100
8,535,14001,22,32
8,103,18536,4,60
8,103,22829,4,60
8,298,15256,4,60
8,298,28836,4,60
8,298,10904,4,60
8,540,30286,5,30
9,307,7680,4,61
9,307,942,4,61
9,540,6005,5,30
9,541,28156,75,28
10,307,26073,4,61
10,307,16699,4,61
10,3,7551,2,75
10,3,8493,2,75
10,3,25300,2,75
10,536,2254,6,38
10,540,16641,5,30
10,318,17196,75,28
11,307,13564,4,61
11,307,16026,4,61
11,535,26805,11,32
11,295,4720,19,55
11,295,3640,19,55
11,536,15856,6,38
12,534,10184,11,33
12,535,13492,11,32
12,104,29957,7,42
12,314,11504,2,88
12,314,17198,2,88
12,314,16706,2,88
12,540,10643,5,30
12,510,6083,26,24
13,161,10708,79,105
13,161,23978,79,105
13,161,4127,79,105
13,3,4292,2,75
13,3,18104,2,75
13,3,756,2,75
13,535,22900,11,32
13,236,31893,2,78
13,236,10263,2,78
13,236,4599,2,78
14,536,24567,6,38
14,104,13334,7,42
14,510,2075,26,24
15,459,1449,79,150
15,459,13178,79,150
15,459,23814,79,150
15,459,17583,79,150
15,459,17523,79,150
16,1,21456,79,100
16,1,9202,79,100
16,1,32021,79,100
